epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,275.095,0.86993,2.11616,1.1456,0.85472,0.87079,0.89323,0.76765,0.57033,2.56005,0.66384,0.00036684,0.00036684,0.00036684
2,563.203,0.82715,1.16527,1.13034,0.87629,0.65152,0.81268,0.65783,0.73462,2.58225,0.7291,0.00072501,0.00072501,0.00072501
3,843.974,0.86971,1.04216,1.14863,0.83069,0.72999,0.80753,0.64956,0.77138,2.38845,0.7685,0.00107096,0.00107096,0.00107096
4,1150.66,0.84439,0.98953,1.13151,0.82261,0.71446,0.82478,0.66464,0.6995,1.83064,0.72572,0.00105601,0.00105601,0.00105601
5,1415.3,0.82594,0.95784,1.11424,0.90539,0.91814,0.93853,0.79093,0.60873,1.56771,0.6771,0.00103767,0.00103767,0.00103767
6,1681.93,0.82663,0.85443,1.115,0.85495,0.88988,0.90877,0.75921,0.65283,1.45935,0.70483,0.00101934,0.00101934,0.00101934
7,1948.22,0.78551,0.86769,1.09634,0.94261,0.8867,0.94553,0.8141,0.5906,1.33075,0.68028,0.00100101,0.00100101,0.00100101
8,2236.54,0.75166,0.79686,1.09578,0.9214,0.87386,0.94589,0.8156,0.58452,1.23277,0.66364,0.000982679,0.000982679,0.000982679
9,2518.64,0.73182,0.73088,1.07001,0.84052,0.86475,0.90842,0.75903,0.61257,1.50877,0.68872,0.000964348,0.000964348,0.000964348
10,2798.71,0.70824,0.72223,1.05214,0.94013,0.90263,0.95204,0.82211,0.54518,1.20166,0.64586,0.000946016,0.000946016,0.000946016
11,3081.67,0.6984,0.69887,1.05681,0.91103,0.90584,0.96101,0.81434,0.58167,1.14279,0.67167,0.000927685,0.000927685,0.000927685
12,3361.44,0.71624,0.6853,1.0628,0.89241,0.87871,0.94723,0.8109,0.5877,1.21584,0.66333,0.000909353,0.000909353,0.000909353
13,3643.54,0.68088,0.63545,1.03599,0.95728,0.95838,0.96686,0.83486,0.55709,0.95711,0.67693,0.000891022,0.000891022,0.000891022
14,3939.23,0.65321,0.61221,1.03107,0.94912,0.92216,0.96192,0.86006,0.52559,1.0657,0.65481,0.000872691,0.000872691,0.000872691
15,4237.08,0.68055,0.62469,1.03672,0.91571,0.9085,0.93402,0.81995,0.54127,1.06524,0.65492,0.000854359,0.000854359,0.000854359
16,4526.8,0.66089,0.64337,1.02702,0.91682,0.90045,0.96036,0.85036,0.53577,1.05151,0.63745,0.000836027,0.000836027,0.000836027
17,4819.73,0.62877,0.60631,1.01529,0.85821,0.92003,0.94468,0.84204,0.52514,1.08868,0.63309,0.000817696,0.000817696,0.000817696
18,5117.55,0.64499,0.5796,1.02742,0.94244,0.94354,0.9573,0.85055,0.50191,0.97873,0.63335,0.000799365,0.000799365,0.000799365
19,5411.7,0.63387,0.56569,1.02457,0.96673,0.88871,0.96448,0.87524,0.49505,0.90329,0.62341,0.000781033,0.000781033,0.000781033
20,5710.53,0.59531,0.54077,0.99216,0.94423,0.92621,0.95933,0.8365,0.52152,0.93045,0.63701,0.000762702,0.000762702,0.000762702
21,6008.24,0.60942,0.55387,1.00503,0.95709,0.91662,0.9641,0.86832,0.48535,0.90756,0.63156,0.00074437,0.00074437,0.00074437
22,6309.2,0.6313,0.58143,1.0217,0.89804,0.93549,0.95879,0.85957,0.48974,1.03621,0.62837,0.000726038,0.000726038,0.000726038
23,6609.55,0.57435,0.53553,0.98421,0.93577,0.93039,0.95898,0.86651,0.47154,0.87318,0.62807,0.000707707,0.000707707,0.000707707
24,6913.1,0.56487,0.48864,0.9851,0.89877,0.94212,0.95973,0.86027,0.46873,0.91106,0.61488,0.000689376,0.000689376,0.000689376
25,7219,0.57589,0.51034,0.98772,0.95425,0.94353,0.9637,0.87294,0.44808,0.79007,0.61992,0.000671044,0.000671044,0.000671044
26,7520.89,0.58864,0.51864,0.99503,0.94801,0.92135,0.96247,0.87074,0.46631,0.85421,0.6151,0.000652712,0.000652712,0.000652712
27,7837.55,0.57047,0.49519,0.98553,0.9323,0.88301,0.95498,0.86851,0.47931,0.88668,0.62279,0.000634381,0.000634381,0.000634381
28,8148.35,0.57347,0.48213,0.98375,0.91206,0.9076,0.95846,0.86001,0.48052,0.92698,0.61678,0.000616049,0.000616049,0.000616049
29,8456.37,0.54339,0.46764,0.97581,0.9297,0.95607,0.96826,0.86996,0.493,0.8989,0.63602,0.000597718,0.000597718,0.000597718
30,8763.96,0.55739,0.47777,0.98508,0.94876,0.91533,0.95684,0.87468,0.42637,0.83484,0.60311,0.000579386,0.000579386,0.000579386
31,9065.2,0.54792,0.49015,0.98327,0.93381,0.89422,0.96546,0.88291,0.43717,0.85349,0.60924,0.000561055,0.000561055,0.000561055
32,9382.04,0.52969,0.47356,0.97899,0.92938,0.90647,0.96332,0.88028,0.44188,0.8512,0.61741,0.000542723,0.000542723,0.000542723
33,9719.33,0.53805,0.46022,0.98428,0.95188,0.92185,0.96395,0.86943,0.48962,0.7781,0.63502,0.000524392,0.000524392,0.000524392
34,10040.3,0.52602,0.45177,0.97332,0.94966,0.91129,0.97293,0.90127,0.4317,0.82395,0.60437,0.00050606,0.00050606,0.00050606
35,10365.7,0.54336,0.45375,0.97529,0.93658,0.92789,0.95825,0.88661,0.44482,0.80942,0.60007,0.000487729,0.000487729,0.000487729
36,10682.8,0.49177,0.41636,0.94127,0.93287,0.88184,0.96072,0.8819,0.42882,0.84747,0.6016,0.000469397,0.000469397,0.000469397
37,11005.2,0.51055,0.41731,0.96816,0.94677,0.92054,0.9714,0.8885,0.42734,0.76663,0.60665,0.000451066,0.000451066,0.000451066
38,11302.4,0.48925,0.41223,0.95047,0.97268,0.93846,0.97336,0.89328,0.44467,0.80755,0.60978,0.000432734,0.000432734,0.000432734
39,11659.8,0.49966,0.40626,0.95975,0.94364,0.92055,0.96775,0.89411,0.42917,0.69944,0.60112,0.000414403,0.000414403,0.000414403
40,11995.2,0.49527,0.4171,0.97123,0.92468,0.917,0.97298,0.90015,0.43067,0.74129,0.6152,0.000396071,0.000396071,0.000396071
41,12321.2,0.48485,0.40198,0.94486,0.92229,0.91909,0.95507,0.86982,0.45611,0.82037,0.62005,0.00037774,0.00037774,0.00037774
42,12666,0.48957,0.39421,0.94695,0.94206,0.92221,0.95338,0.87406,0.4459,0.79592,0.61351,0.000359409,0.000359409,0.000359409
